product parent,category 1,category 2,name,base,barcode,cost_price,sale_price,manufacturer_srp,weight,manufacturer,supplier,store_sku,manufacturer_sku,supplier_sku,short_description,long_description,image_url,sub_image_url,meta_title,meta_desc,quantity,Color,Storage,Size,Zoom,Aperture,Pixel
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 64GB - Black & Slate,Apple iPad Mini,,,,"3,888.00",,Apple Asia Ltd,,102-APPIPM-MD530ZP/A,MD530ZP/A,,Apple iPad mini with WiFi 64GB - Black & Slate,,,,,,,Black & Slate,64GB,,,,
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 16GB -White & Silver,Apple iPad Mini,,,,"2,288.00",,Apple Asia Ltd,,102-APPIPM-MD531ZP/A,MD531ZP/A,,Apple iPad mini with WiFi 16GB -White & Silver,,,,,,,White & Silver,16GB,,,,
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 32GB -White & Silver,Apple iPad Mini,,,,"3,088.00",,Apple Asia Ltd,,102-APPIPM-MD532ZP/A,MD532ZP/A,,Apple iPad mini with WiFi 32GB -White & Silver,,,,,,,White & Silver,32GB,,,,
Tablets,Apple,iPad Mini,Apple iPad mini with WiFi 64GB -White & Silver,Apple iPad Mini,,,,"3,888.00",,Apple Asia Ltd,,102-APPIPM-MD533ZP/A,MD533ZP/A,,Apple iPad mini with WiFi 64GB -White & Silver,,,,,,,White & Silver,64GB,,,,
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 32GB BLACK-ZPN,Apple iPad Mini,,,,"4,088.00",,Apple Asia Ltd,,102-APPIPM-MD541ZP/A,MD541ZP/A,,Apple MINI IPAD WI-FI CELLULAR 32GB BLACK-ZPN,,,,,,,BLACK,32GB,,,,
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 64GB BLACK-ZPN,Apple iPad Mini,,,,"4,888.00",,Apple Asia Ltd,,102-APPIPM-MD542ZP/A,MD542ZP/A,,Apple MINI IPAD WI-FI CELLULAR 64GB BLACK-ZPN,,,,,,,BLACK,64GB,,,,
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 16GB WHITE-ZPN,Apple iPad Mini,,,,"3,288.00",,Apple Asia Ltd,,102-APPIPM-MD543ZP/A,MD543ZP/A,,Apple MINI IPAD WI-FI CELLULAR 16GB WHITE-ZPN,,,,,,,WHITE,16GB,,,,
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 32GB WHITE-ZPN,Apple iPad Mini,,,,"4,088.00",,Apple Asia Ltd,,102-APPIPM-MD544ZP/A,MD544ZP/A,,Apple MINI IPAD WI-FI CELLULAR 32GB WHITE-ZPN,,,,,,,WHITE,32GB,,,,
Tablets,Apple,iPad Mini,Apple MINI IPAD WI-FI CELLULAR 64GB WHITE-ZPN,Apple iPad Mini,,,,"4,888.00",,Apple Asia Ltd,,102-APPIPM-MD545ZP/A,MD545ZP/A,,Apple MINI IPAD WI-FI CELLULAR 64GB WHITE-ZPN,,,,,,,WHITE,64GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 16GB - Space Grey,Apple iPad Mini Retina,,,,"3,088.00",,Apple Asia Ltd,,102-APPIMR-ME276ZP/A,ME276ZP/A,,Apple iPad mini Retina Wi-Fi 16GB - Space Grey,,,,,,,Space Grey,16GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 32GB - Space Grey,Apple iPad Mini Retina,,,,"3,888.00",,Apple Asia Ltd,,102-APPIMR-ME277ZP/A,ME277ZP/A,,Apple iPad mini Retina Wi-Fi 32GB - Space Grey,,,,,,,Space Grey,32GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 64GB - Space Grey,Apple iPad Mini Retina,,,,"4,688.00",,Apple Asia Ltd,,102-APPIMR-ME278ZP/A,ME278ZP/A,,Apple iPad mini Retina Wi-Fi 64GB - Space Grey,,,,,,,Space Grey,64GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 16GB - Silver,Apple iPad Mini Retina,,,,"3,088.00",,Apple Asia Ltd,,102-APPIMR-ME279ZP/A,ME279ZP/A,,Apple iPad mini Retina Wi-Fi 16GB - Silver,,,,,,,Silver,16GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 32GB - Silver,Apple iPad Mini Retina,,,,"3,888.00",,Apple Asia Ltd,,102-APPIMR-ME280ZP/A,ME280ZP/A,,Apple iPad mini Retina Wi-Fi 32GB - Silver,,,,,,,Silver,32GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 64GB - Silver,Apple iPad Mini Retina,,,,"4,688.00",,Apple Asia Ltd,,102-APPIMR-ME281ZP/A,ME281ZP/A,,Apple iPad mini Retina Wi-Fi 64GB - Silver,,,,,,,Silver,64GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Spa,Apple iPad Mini Retina,,,,"4,088.00",,Apple Asia Ltd,,102-APPIMR-ME800ZP/A,ME800ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Spa,,,,,,,Space Grey,16GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Sil,Apple iPad Mini Retina,,,,"4,088.00",,Apple Asia Ltd,,102-APPIMR-ME814ZP/A,ME814ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 16GB-Sil,,,,,,,Silver,16GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Spa,Apple iPad Mini Retina,,,,"4,888.00",,Apple Asia Ltd,,102-APPIMR-ME820ZP/A,ME820ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Spa,,,,,,,Space Grey,32GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Sil,Apple iPad Mini Retina,,,,"4,888.00",,Apple Asia Ltd,,102-APPIMR-ME824ZP/A,ME824ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 32GB-Sil,,,,,,,Silver,32GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Spa,Apple iPad Mini Retina,,,,"5,688.00",,Apple Asia Ltd,,102-APPIMR-ME828ZP/A,ME828ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Spa,,,,,,,Space Grey,64GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Sil,Apple iPad Mini Retina,,,,"5,688.00",,Apple Asia Ltd,,102-APPIMR-ME832ZP/A,ME832ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 64GB-Sil,,,,,,,Silver,64GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Sp,Apple iPad Mini Retina,,,,"6,488.00",,Apple Asia Ltd,,102-APPIMR-ME836ZP/A,ME836ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Sp,,,,,,,Space Grey,128GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Si,Apple iPad Mini Retina,,,,"6,488.00",,Apple Asia Ltd,,102-APPIMR-ME840ZP/A,ME840ZP/A,,Apple iPad mini Retina Wi-Fi+Cellular 128GB-Si,,,,,,,Silver,128GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 128GB -Space Grey,Apple iPad Mini Retina,,,,"5,488.00",,Apple Asia Ltd,,102-APPIMR-ME856ZP/A,ME856ZP/A,,Apple iPad mini Retina Wi-Fi 128GB -Space Grey,,,,,,,Space Grey,128GB,,,,
Tablets,Apple,iPad Mini Retina,Apple iPad mini Retina Wi-Fi 128GB - Silver,Apple iPad Mini Retina,,,,"5,488.00",,Apple Asia Ltd,,102-APPIMR-ME860ZP/A,ME860ZP/A,,Apple iPad mini Retina Wi-Fi 128GB - Silver,,,,,,,Silver,128GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 16GB - Space Grey,Apple iPad Air,,,,"3,888.00",,Apple Asia Ltd,,102-APPIPA-MD785ZP/A,MD785ZP/A,,Apple iPad Air Wi-Fi 16GB - Space Grey,,,,,,,Space Grey,16GB,,,,
Tablets,Apple,iPad Air,Apple iPad Air Wi-Fi 32GB - Space Grey,Apple iPad Air,,,,"4,688.00",,Apple Asia Ltd,,102-APPIPA-MD786ZP/A,MD786ZP/A,,Apple iPad Air Wi-Fi 32GB - Space Grey,,,,,,,Space Grey,32GB,,,,
