Item   Code,Item Name,Item BarCode,Unit,Item Type,Qty On Hand,Qty On Ord,Price Sales,Serial No Ctrl,Anly Code1,Anly Code2,Anly Code3,Anly Code4,Anly Code5,Anly Code6,Anly Code7,Anly Code8,,Anly Code9
3018-MS30108,Aquacase for iPhone 3G - Turquoise,,PCS,S,4,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,,,
3018-MS30105,Aquacase for iPhone 3G - Purple,,PCS,S,1,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Purple,,
3018-MS30103,iPhone 3G AquaCase -Blue,,PCS,S,2,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Blue,,
3018-MS30102,iPhone 3G AquaCase -Pink,,PCS,S,2,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Pink,,
3018-MS30100,iPhone 3G AquaCase- Clear,,PCS,S,1,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Clear,,
3018-MS29103,iPhone 3G AquaCase -Blue_____(__),4897015611750,PCS,S,31,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Blue,,
3018-MS29102,iPhone 3G AquaCase -Pink_____(__),4897015611767,PCS,S,20,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Pink,,
3018-MS29101,iPhone 3G AquaCase - Smoke_____(__),4897015611668,PCS,S,27,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Gray,,
3018-MS29100,iPhone 3G AquaCase- Clear_____(__),4897015611651,PCS,S,19,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Translucent,,
3018-MS27103,iPhone 3G Sillicone Case - Blue___(__),327103009090114,PCS,S,18,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Blue,,
3018-MS27102HK,iPhone 3G Sillicone Case - Red___(__),4897015611576,PCS,S,1,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,Cablex Accessories,4MAC,,Red,,
3018-MS27100HK,iPhone 3G Silicone Case - Clear___(__),327100017090114,PCS,S,1,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,Cablex Accessories,4MAC,,Translucent,,
3018-MS27100,iPhone 3G Silicone Case - Clear___(__),4897015611552,PCS,S,14,,168,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Translucent,,
3018-MP40101,4Mac Flash Back  for iPhone  3GS-Wine __,,PCS,S,21,,188,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Red,,
3018-MP40100,4Mac Flash Back  for iPhone  3GS-Black__,4897015613648,PCS,S,8,,188,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Black,,
3018-MP36101HK,SeaShell Duet for iPhone 3GS - Blue and,,PCS,S,2,,220,N,Third-Party,Third-Party Accessory,Third-Party,Case,A.ccessories Internationa,4MAC,,Blue,,
3018-MP36100HK,SeaShell Duet for iPhone 3GS - Black and,,PCS,S,1,,220,N,Third-Party,Third-Party Accessory,Third-Party,Case,A.ccessories Internationa,4MAC,,Black,,
3018-MP22103,iPod touch G2 SeeCase - Pink___(___) (Po,4897015612030,PCS,S,6,,118,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Pink,,
3018-MP22102,iPod touch G2 SeeCase - Blue___(__),4897015612023,PCS,S,1,,118,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Blue,,
3018-MP22101,iPod touch G2 SeeCase - Smoke___(__),4897015612016,PCS,S,2,,118,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,,,
3018-MP22100,iPod touch G2 SeeCase - Clear___(__) (Po,4897015612009,PCS,S,3,,118,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Translucent,,
3018-MP21103,iPhone 3G SeeCase - Pink___(__),4897015611866,PCS,S,4,,116,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Pink,,
3018-MP21101,iPhone 3G SeeCase - Smoke___(__),4897015611842,PCS,S,30,,116,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Gray,,
3018-MP21100,iPhone 3G SeeCase - Clear___(__),321100011090114,PCS,S,8,,116,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Translucent,,
3018-MP20101,MacBook Air PC shell-Graphite __,320101002681201,PCS,S,8,,230,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Graphite,,
3018-MondriaanWH,Fresh Fiber Mondriaan w/card Case -WH,8718215780724,PCS,S,8,,399,N,Third-Party,Third-Party Accessory,Third-Party,Case,Towervision Group Limited,Fresh Fiber,Mondriaan,White,,
3018-MondriaanBLK,Fresh Fiber Mondriaan w/card Case -BK,8718215780717,PCS,S,3,,399,N,Third-Party,Third-Party Accessory,Third-Party,Case,Towervision Group Limited,Fresh Fiber,Mondriaan,Black,,
3018-ML29104,4Mac iPad Sleeve Outfit your iPad - Brow,4897015610296,PCS,S,1,,280,N,Third-Party,Third-Party Accessory,Third-Party,Case,A.ccessories Internationa,4MAC,,,,
3018-ML29101,4Mac iPad Sleeve Outfit your iPad - Surf,4897015610265,PCS,S,8,,280,N,Third-Party,Third-Party Accessory,Third-Party,Case,A.ccessories Internationa,4MAC,,,,
3018-ML25543,Genuine Leather for Macbook Pro,0306993300036,PCS,S,0,,488,N,Third-Party,Third-Party Accessory,Third-Party,Case,MC.FOUNDER(Technoly)Ltd,GENUINE,ML25543,,,
3018-ML21101,4Mac Relaxed wrist pad (Leather) for MB(,4897015612320,PCS,S,15,,138,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,White,,
3018-ML21100,4Mac Relaxed wrist pad (Leather) for MB(,4897015612313,PCS,S,8,,138,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Black,,
3018-ML13102,iPod touch G2 ModeCase - Red______(__) (,4897015611989,PCS,S,5,,200,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Red,,
3018-ML13101,iPod touch G2 ModeCase - White______(__),4897015611996,PCS,S,16,,200,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,White,,
3018-ML13100,iPod touch G2 ModeCase - Black______(__),4897015611972,PCS,S,3,,200,N,Third-Party,Third-Party Accessory,Third-Party,Case,__,4MAC,,Black,,
3018-MFP4BACK,Artwizz IPHONE 4 MIRRORFILM BACK,0802701300010,PCS,S,0,,120,N,Third-Party,Third-Party Accessory,Third-Party,Case,Morgan Power Internationa,ARTWIZZ,MFP4-BACK,,,
3018-MBSL15B,Mac Book Sleeve 15 -Black (Free Gift),0305296500044,PCS,S,60,,0,N,Third-Party,Third-Party Accessory,Third-Party,Case,Ms. Tam (___),Free Gift (Ms Tam),MBSL15-B,Black,,
3018-MBSL13B,Mac Book Sleeve 13 -Black (Free Gift),0305296500037,PCS,S,2,,0,N,Third-Party,Third-Party Accessory,Third-Party,Case,Ms. Tam (___),Free Gift (Ms Tam),MBSL13-B,Black,,
3018-MBSL12B,Mac Book Sleeve 12 -Black (Free Gift),0305296500020,PCS,S,17,,0,N,Third-Party,Third-Party Accessory,Third-Party,Case,Ms. Tam (___),Free Gift (Ms Tam),MBSL12-B,Black,,
3018-MB13EGGSHELL,Tunewear Eggshell Case - MacBook Air 13,875570005331,PCS,S,0,,299,N,Third-Party,Third-Party Accessory,Third-Party,Case,Towervision Group Limited,Tunewear,00041MB13-EGG-SHELL-,Clear,,
3018-MB13CARBON01,Tunewear Carbon Look Case for MB Air 13,875570005232,PCS,S,5,,399,N,Third-Party,Third-Party Accessory,Third-Party,Case,Towervision Group Limited,Tunewear,MB13-CARBON-01,,,
3018-MB11EGGSHELL,Tunewear Eggshell Case - MacBook Air 11,875570005324,PCS,S,3,,279,N,Third-Party,Third-Party Accessory,Third-Party,Case,Towervision Group Limited,Tunewear,00041MB11-EGG-SHELL-,Clear,,
3018-MB11CARBON01,Tunewear Carbon Look Case for MB Air 11,875570005225,PCS,S,6,,349,N,Third-Party,Third-Party Accessory,Third-Party,Case,Towervision Group Limited,Tunewear,MB11-CARBON-01,,,
